nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0117194
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0115631
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0109268
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0057918
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,0.0122907
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0601745
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.1598484
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0080297
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0118684
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0113735
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0059966
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,0.0120837
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0560613
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.1594223
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0086136
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0121835
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0117956
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0067216
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,0.0073055
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0512857
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.1470542
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0098471
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0094932
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0131821
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0121640
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,0.0018095
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0382844
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.1339686
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0044915
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,-0.0080978
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0113920
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0143842
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0079525
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,0.0237887
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.1156897
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0023121
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,-0.0012949
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,-0.0085392
