nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0194168
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0191764
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0225352
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0214169
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0111488
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0132994
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.0817233
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0159424
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0195312
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0229406
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0218206
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0113538
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0130925
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.0815164
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0202742
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0199951
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0234488
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0263561
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0161298
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0083174
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.0689289
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0214970
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0250547
