nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0193263
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0231170
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0264408
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0252879
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0150514
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0172074
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.0934438
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0159425
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0195312
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0229368
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0218128
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0115419
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0207171
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.0930472
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0124595
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0161238
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0202125
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0188049
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0119387
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0203201
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.0965565
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0059395
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0055827
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0132351
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0152797
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0053550
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0269038
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.1031402
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, 0.0072275
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,0.0075143
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,0.0002564
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0059690
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,0.0039062
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,0.0400713
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.1241202
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, 0.0296566
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,0.0299429
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,0.0227592
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,0.0240666
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,0.0343490
