nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_falling,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0193261
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0191763
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0225353
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0214151
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0111545
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,0.0172076
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.0934440
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0159425
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0195312
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0229374
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0218081
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0115373
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,0.0207215
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.0930516
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0124591
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0121901
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0202121
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0190412
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0080325
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,0.0242264
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.1004627
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0020332
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0055826
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0132333
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0152805
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0053550
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,0.0265153
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.1070465
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, 0.0072275
