nom_voltage,nom_temperature,nom_process,related_pin CLK,timing_type hold_rising,rise_constraint,fall_constraint,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0160000,-0.0232329
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0160000,-0.0270187
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0160000,-0.0303477
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0160000,-0.0291524
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0160000,-0.0228655
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0160000,-0.0023254
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0160000,0.0504734
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0320000, -0.0237447
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0320000,-0.0273662
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0320000,-0.0306456
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0320000,-0.0296783
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0320000,-0.0271575
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0320000,-0.0066351
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0320000,0.0500698
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.0640000, -0.0241608
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.0640000,-0.0279389
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.0640000,-0.0314557
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.0640000,-0.0341826
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.0640000,-0.0317571
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.0640000,-0.0112154
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.0640000,0.0415847
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.1280000, -0.0293780
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.1280000,-0.0290218
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.1280000,-0.0362413
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.1280000,-0.0435192
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.1280000,-0.0408444
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.1280000,-0.0242939
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.1280000,0.0246005
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.2560000, -0.0318352
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.2560000,-0.0315485
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.2560000,-0.0387963
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.2560000,-0.0452005
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.2560000,-0.0507159
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.2560000,-0.0341474
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.2560000,0.0108389
0.850000,125.000000,1.01,1,1,1,0,0.0160000,0.5120000, -0.0289376
0.850000,125.000000,1.01,1,1,1,0,0.0320000,0.5120000,-0.0325573
0.850000,125.000000,1.01,1,1,1,0,0.0640000,0.5120000,-0.0397409
0.850000,125.000000,1.01,1,1,1,0,0.1280000,0.5120000,-0.0501454
0.850000,125.000000,1.01,1,1,1,0,0.2560000,0.5120000,-0.0596026
0.850000,125.000000,1.01,1,1,1,0,0.5120000,0.5120000,-0.0547247
0.850000,125.000000,1.01,1,1,1,0,1.0240000,0.5120000,-0.0180311
0.850000,125.000000,1.01,1,1,1,0,0.0160000,1.0240000, -0.0231426
0.850000,125.000000,1.01,1,1,1,0,0.0320000,1.0240000,-0.0228563
0.850000,125.000000,1.01,1,1,1,0,0.0640000,1.0240000,-0.0300393
0.850000,125.000000,1.01,1,1,1,0,0.1280000,1.0240000,-0.0405412
0.850000,125.000000,1.01,1,1,1,0,0.2560000,1.0240000,-0.0538077
0.850000,125.000000,1.01,1,1,1,0,0.5120000,1.0240000,-0.0692437
0.850000,125.000000,1.01,1,1,1,0,1.0240000,1.0240000,0.0075317
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0160000,-0.0271684
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0160000,-0.0305964
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0160000,-0.0380260
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0160000,-0.0526538
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0160000,-0.0651892
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0160000,-0.0832592
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0160000,-0.0978569
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0320000, -0.0237447
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0320000,-0.0311634
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0320000,-0.0383332
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0320000,-0.0530621
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0320000,-0.0657261
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0320000,-0.0839993
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0320000,-0.0983629
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.0640000, -0.0241229
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.0640000,-0.0279388
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.0640000,-0.0390619
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.0640000,-0.0537652
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.0640000,-0.0745426
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.0640000,-0.0931003
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.0640000,-0.1146643
0.850000,125.000000,1.01,1,1,0,1,0.0160000,0.1280000, -0.0254583
0.850000,125.000000,1.01,1,1,0,1,0.0320000,0.1280000,-0.0289986
0.850000,125.000000,1.01,1,1,0,1,0.0640000,0.1280000,-0.0402582
0.850000,125.000000,1.01,1,1,0,1,0.1280000,0.1280000,-0.0588094
0.850000,125.000000,1.01,1,1,0,1,0.2560000,0.1280000,-0.0795737
0.850000,125.000000,1.01,1,1,0,1,0.5120000,0.1280000,-0.1064459
0.850000,125.000000,1.01,1,1,0,1,1.0240000,0.1280000,-0.1277414
