nom_voltage,nom_temperature,nom_process,related_pin A,related_pin EN,timing_type combinational,timing_type three_state_enable,timing_type three_state_disable,timing_sense positive_unate,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,13.3032,0.0603483
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,13.3032,0.0603876
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,13.3032,0.0604527
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,13.3032,0.0605824
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,13.3032,0.0608388
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,13.3032,0.0613410
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,13.3032,0.0623081
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,13.4532, 0.0609711
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,13.4532,0.0610106
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,13.4532,0.0610763
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,13.4532,0.0612067
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,13.4532,0.0614642
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,13.4532,0.0619667
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,13.4532,0.0629307
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,13.7032, 0.0578809
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,13.7032,0.0579184
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,13.7032,0.0579810
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,13.7032,0.0581056
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,13.7032,0.0583530
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,13.7032,0.0588409
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,13.7032,0.0598614
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,14.2032, 0.0453433
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,14.2032,0.0454387
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,14.2032,0.0455025
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,14.2032,0.0456298
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,14.2032,0.0458831
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,14.2032,0.0462950
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,14.2032,0.0472478
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,15.2032, 0.0111766
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,15.2032,0.0112164
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,15.2032,0.0112825
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,15.2032,0.0114144
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,15.2032,0.0116769
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,15.2032,0.0121962
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,15.2032,0.0132121
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,17.2032, -0.0686141
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.032,17.2032,-0.0685705
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.064,17.2032,-0.0684932
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.128,17.2032,-0.0683537
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.256,17.2032,-0.0680864
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.512,17.2032,-0.0675475
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,1.024,17.2032,-0.0664637
0.850000,125.000000,1.01,1,0,1,0,0,1,0,1,0,0,0,0.016,21.2032, -0.2418063
