nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense positive_unate,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.1,0.0354750
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.1,0.0367227
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.1,0.0382179
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.1,0.0409844
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.1,0.0459550
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.1,0.0546287
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.1,0.0698761
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.5, 0.0390527
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.5,0.0402568
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.5,0.0416992
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.5,0.0443737
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.5,0.0491998
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.5,0.0577653
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.5,0.0728237
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,1, 0.0443224
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,1,0.0455735
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,1,0.0470782
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,1,0.0498433
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,1,0.0548681
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,1,0.0635943
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,1,0.0787434
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,2, 0.0507977
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,2,0.0522455
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,2,0.0538377
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,2,0.0568449
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,2,0.0623821
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,2,0.0718096
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,2,0.0879865
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,4, 0.0577800
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,4,0.0593116
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,4,0.0611108
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,4,0.0645573
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,4,0.0709209
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,4,0.0817656
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,4,0.1004708
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,8, 0.0644247
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,8,0.0659939
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,8,0.0679345
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,8,0.0717241
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,8,0.0794793
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,8,0.0923402
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,8,0.1148968
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,16, 0.0706813
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,16,0.0723421
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,16,0.0744143
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,16,0.0785321
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,16,0.0866083
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,16,0.1017942
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,16,0.1289805
