nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense positive_unate,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,0.1,0.0645696
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,0.1,0.0655494
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,0.1,0.0669574
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,0.1,0.0695951
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,0.1,0.0744022
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,0.1,0.0830947
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,0.1,0.0989297
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,0.25, 0.0654758
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,0.25,0.0663834
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,0.25,0.0678760
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,0.25,0.0705032
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,0.25,0.0753212
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,0.25,0.0839821
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,0.25,0.0998105
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,0.5, 0.0664439
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,0.5,0.0673211
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,0.5,0.0687115
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,0.5,0.0713365
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,0.5,0.0761263
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,0.5,0.0847963
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,0.5,0.1006216
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,1, 0.0653965
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,1,0.0663158
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,1,0.0677267
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,1,0.0703455
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,1,0.0751306
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,1,0.0837277
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,1,0.0994888
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,2, 0.0584974
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,2,0.0594270
