nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense negative_unate,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.1,0.0508208
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.1,0.0516723
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.1,0.0531456
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.1,0.0558386
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.1,0.0606797
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.1,0.0692989
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.1,0.0846537
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.25, 0.0551920
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.25,0.0561034
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.25,0.0575459
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.25,0.0602202
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.25,0.0650484
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.25,0.0736445
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.25,0.0890327
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,0.5, 0.0624724
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,0.5,0.0633425
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,0.5,0.0647456
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,0.5,0.0673786
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,0.5,0.0721376
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,0.5,0.0806933
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,0.5,0.0960380
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,1, 0.0736410
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,1,0.0745542
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,1,0.0760010
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,1,0.0786959
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,1,0.0834999
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,1,0.0920867
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,1,0.1074815
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,2, 0.0902428
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,2,0.0912171
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,2,0.0927674
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,2,0.0956920
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.256,2,0.1010056
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.512,2,0.1101369
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,1.024,2,0.1259649
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.016,4, 0.1156481
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.032,4,0.1167392
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.064,4,0.1182144
0.850000,125.000000,1.01,1,0,1,1,0,1,0,0,0,0.128,4,0.1214436
