nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense negative_unate,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,0.1,0.0700198
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,0.1,0.0710538
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,0.1,0.0727501
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,0.1,0.0759142
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,0.1,0.0816883
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,0.1,0.0917592
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,0.1,0.1089998
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,0.25, 0.0741323
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,0.25,0.0751916
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,0.25,0.0768792
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,0.25,0.0800299
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,0.25,0.0857987
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,0.25,0.0958601
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,0.25,0.1130786
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,0.5, 0.0810636
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,0.5,0.0821263
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,0.5,0.0838146
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,0.5,0.0869747
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,0.5,0.0927257
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,0.5,0.1027802
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,0.5,0.1199841
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,1, 0.0929407
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,1,0.0939792
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,1,0.0956382
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,1,0.0987752
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,1,0.1044685
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,1,0.1144464
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,1,0.1315326
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,2, 0.1128499
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,2,0.1139087
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,2,0.1156032
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,2,0.1187860
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,2,0.1246501
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,2,0.1348165
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,2,0.1521723
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,4, 0.1452823
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,4,0.1464266
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,4,0.1482890
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,4,0.1517093
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,4,0.1579812
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,4,0.1689885
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,4,0.1877537
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.016,8, 0.1989214
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.032,8,0.2001153
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.064,8,0.2022777
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.128,8,0.2061571
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.256,8,0.2129262
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,0.512,8,0.2258959
0.850000,125.000000,1.01,1,0,0,1,1,0,1,0,0,0,1.024,8,0.2475762
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,0.1,0.0382602
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,0.1,0.0388251
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,0.1,0.0398819
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,0.1,0.0421108
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,0.1,0.0464295
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,0.1,0.0554073
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,0.1,0.0733403
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,0.25, 0.0381895
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,0.25,0.0388336
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,0.25,0.0398677
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,0.25,0.0421539
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,0.25,0.0465925
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,0.25,0.0554497
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,0.25,0.0733308
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,0.5, 0.0383989
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,0.5,0.0389808
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,0.5,0.0401477
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,0.5,0.0423618
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,0.5,0.0468499
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,0.5,0.0556902
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,0.5,0.0736656
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,1, 0.0404446
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,1,0.0409508
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,1,0.0420574
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,1,0.0442500
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,1,0.0485855
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,1,0.0571065
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,1,0.0751249
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,2, 0.0490208
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,2,0.0496158
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,2,0.0505253
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,2,0.0524376
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,2,0.0563574
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,2,0.0643263
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,2,0.0806889
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,4, 0.0688082
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,4,0.0692601
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,4,0.0701806
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,4,0.0721284
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,4,0.0758255
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,4,0.0824102
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,4,0.0980568
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,8, 0.1089607
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,8,0.1094137
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,8,0.1102010
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,8,0.1120789
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,8,0.1146930
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,8,0.1225220
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,8,0.1373171
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.016,0.1,0.0537286
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.032,0.1,0.0547449
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.064,0.1,0.0563983
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.128,0.1,0.0594320
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.256,0.1,0.0649270
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.512,0.1,0.0745616
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,1.024,0.1,0.0916815
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.016,0.25, 0.0555909
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.032,0.25,0.0565990
